Tattag;Tatzeit/Uhrzeit;Tatort 2;Tbnr1; Geldbuße 
05.01.2015;1525;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1014;Neumarkt / A, Parkplatz;113141; 15,00 € 
05.01.2015;1038;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1346;Oberwallstraße / B in Höhe von Haus-Nr. 1a;113140; 10,00 € 
05.01.2015;1351;Oberwallstraße / B ggü. Haus-Nr. 13, 13;113140; 10,00 € 
05.01.2015;1359;Gabelsbergerstraße in Höhe von Haus-Nr. 5, Ecke Seminarstr.;112262; 10,00 € 
05.01.2015;1402;Seminarstraße in Höhe von Haus-Nr. 8, Ecke Gabelsbergerstr.;113222; 20,00 € 
05.01.2015;1408;Seminarstraße in Höhe von Haus-Nr. 4;113240; 10,00 € 
05.01.2015;1410;Seminarstraße in Höhe von Haus-Nr. 4;113240; 10,00 € 
05.01.2015;1256;Gabelsbergerstraße ggü. Haus-Nr. 7;112402; 20,00 € 
05.01.2015;1426;Martin-Luther-Ring in Höhe von Haus-Nr. 59;112403; 30,00 € 
05.01.2015;1113;Josefstraße / C3 ggü. Haus-Nr. 33;113120; 10,00 € 
05.01.2015;1149;Länglingsweg in Höhe von Haus-Nr. 73;112402; 20,00 € 
05.01.2015;910;Nordring / C2 in Höhe von Haus-Nr. 1;141062; 30,00 € 
05.01.2015;1040;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1102;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1109;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1120;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1131;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1230;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1412;Seminarstraße in Höhe von Haus-Nr. 2d;113240; 10,00 € 
05.01.2015;1414;Seminarstraße in Höhe von Haus-Nr. 2e;113260; 10,00 € 
05.01.2015;1419;Ostring / C2 ggü. Haus-Nr. 7;113120; 10,00 € 
05.01.2015;1429;Landwehrstraße / C1 ggü. Haus-Nr. 47;141312; 15,00 € 
05.01.2015;1450;Feldstraße / C1 in Höhe von Haus-Nr. 2a;141422; 10,00 € 
05.01.2015;1505;Homberger Straße / C1 in Höhe von Haus-Nr. 71;113140; 10,00 € 
05.01.2015;1508;Homberger Straße / C1 in Höhe von Haus-Nr. 75;142278; 35,00 € 
05.01.2015;1521;Essenberger Straße / C1, Parkplatz;113280; 10,00 € 
05.01.2015;1538;Tersteegenstraße / C1 in Höhe von Haus-Nr. 18;141118; 15,00 € 
05.01.2015;1540;Tersteegenstraße / C1 in Höhe von Haus-Nr. 18;141118; 15,00 € 
05.01.2015;1542;Tersteegenstraße / C1 in Höhe von Haus-Nr. 21;141118; 15,00 € 
05.01.2015;1545;Tersteegenstraße / C1 in Höhe von Haus-Nr. 8/10;141118; 15,00 € 
05.01.2015;1548;Tersteegenstraße / C1 in Höhe von Haus-Nr. 5;141118; 15,00 € 
05.01.2015;1550;Tersteegenstraße / C1 in Höhe von Haus-Nr. 2;141118; 15,00 € 
05.01.2015;1553;Tersteegenstraße / C1 in Höhe von Haus-Nr. 1;141118; 15,00 € 
05.01.2015;1605;Kautzstraße / B in Höhe von Haus-Nr., Parkplatz;141312; 15,00 € 
05.01.2015;1606;Kautzstraße / B, Parkplatz;113140; 10,00 € 
05.01.2015;1616;Kautzstraße / B, Parkplatz;113120; 10,00 € 
05.01.2015;1632;Meerstraße / B ggü. Haus-Nr. 5;113120; 30,00 € 
05.01.2015;1645;Neumarkt / A in Höhe von Haus-Nr. 15;141106; 30,00 € 
05.01.2015;1648;Neumarkt / A in Höhe von Haus-Nr. 11;141106; 30,00 € 
05.01.2015;1600;Oleanderweg neben Haus-Nr. 36;142103; 10,00 € 
05.01.2015;1618;Lintforter Straße 120;141112; 20,00 € 
05.01.2015;1620;Lintforter Straße 114d;141412; 10,00 € 
05.01.2015;1622;Jungbornstraße ggü. Haus-Nr. 50;112402; 20,00 € 
05.01.2015;1636;Germendonks Kamp, Ecke Elsterstr.;112402; 20,00 € 
05.01.2015;1640;Elsterstraße 21;112042; 20,00 € 
05.01.2015;1701;Homberger Straße / C1 169;141112; 20,00 € 
05.01.2015;1733;Dr.-Hermann-Bähr-Straße ggü. Haus-Nr. 3;141382; 15,00 € 
05.01.2015;1741;Neumarkt / A ggü. Haus-Nr. 13;141106; 30,00 € 
05.01.2015;1809;Neumarkt / A, Parkplatz;142262; 10,00 € 
05.01.2015;1814;Neuer Wall 12;141402; 10,00 € 
05.01.2015;1821;Im Ohl ggü. Haus-Nr. 3;141412; 10,00 € 
05.01.2015;1830;Bruchstraße ggü. Haus-Nr. 69a;112042; 15,00 € 
05.01.2015;1839;Kaldenhausener Straße, Autobahnbrücke Südseite;141314; 25,00 € 
05.01.2015;1840;Kaldenhausener Straße, Autobahnbrücke;141312; 15,00 € 
05.01.2015;1859;Bendmannstraße in Höhe von Haus-Nr. 66, Giebel;112402; 20,00 € 
05.01.2015;1901;Bendmannstraße 66, Giebel;112402; 25,00 € 
05.01.2015;1912;Pferdsweide ggü. Haus-Nr. 32, Logistig Moers;141312; 15,00 € 
05.01.2015;1915;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
05.01.2015;1918;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
05.01.2015;1920;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
05.01.2015;1921;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
05.01.2015;1923;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
05.01.2015;1924;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
05.01.2015;1926;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
05.01.2015;1928;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
05.01.2015;1932;Pferdsweide 51, Zeichen 1052-37;112402; 20,00 € 
05.01.2015;948;Nordring / C2, Parkplatz;113140; 10,00 € 
05.01.2015;1004;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
05.01.2015;1010;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
05.01.2015;1021;Mühlenstraße / DE, Schotterparkplatz;113150; 10,00 € 
05.01.2015;1044;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1051;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1106;Mühlenstraße / DE, Parkplatz;113150; 10,00 € 
05.01.2015;1116;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
05.01.2015;1146;Rheinberger Straße ggü. Haus-Nr. 29;113280; 10,00 € 
05.01.2015;956;Unterwallstraße in Höhe von Haus-Nr. 9;142262; 10,00 € 
05.01.2015;1557;Moselstraße in Höhe von Haus-Nr. 55;113282; 20,00 € 
05.01.2015;1237;Neumarkt / A, Parkplatz;113122; 20,00 € 
05.01.2015;1240;Neumarkt / A, Parkplatz;113121; 15,00 € 
05.01.2015;1256;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1259;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1308;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1309;Neumarkt / A, Parkplatz;113121; 15,00 € 
05.01.2015;1311;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1346;Neumarkt / A, Parkplatz;113121; 15,00 € 
05.01.2015;1320;Unterwallstraße 9;142262; 10,00 € 
05.01.2015;1358;Asberger Straße / C3 ggü. Haus-Nr. 14;113140; 10,00 € 
05.01.2015;1359;Asberger Straße / C3 ggü. Haus-Nr. 12;113140; 10,00 € 
05.01.2015;1405;Asberger Straße / C3 in Höhe von Haus-Nr. 24;113140; 10,00 € 
05.01.2015;1417;Asberger Straße / C3 in Höhe von Haus-Nr. 25;113140; 10,00 € 
05.01.2015;1419;Asberger Straße / C3 in Höhe von Haus-Nr. 25;113140; 10,00 € 
05.01.2015;1420;Asberger Straße / C3 in Höhe von Haus-Nr. 28;113140; 15,00 € 
05.01.2015;1426;Annastraße / C3 in Höhe von Haus-Nr. 23;113140; 10,00 € 
05.01.2015;1427;Annastraße / C3 in Höhe von Haus-Nr. 25;113140; -   € 
05.01.2015;1428;Annastraße / C3 in Höhe von Haus-Nr. 27;113140; 10,00 € 
05.01.2015;1435;Annastraße / C3, Schule;113140; 10,00 € 
05.01.2015;1440;Annastraße / C3 in Höhe von Haus-Nr. 20;113140; 10,00 € 
05.01.2015;1445;Annastraße / C3 in Höhe von Haus-Nr. 16;113120; 10,00 € 
05.01.2015;1448;Annastraße / C3, Ecke Martinstr.;113140; 10,00 € 
05.01.2015;1451;Martinstraße, Ecke Annastr.;112402; 20,00 € 
05.01.2015;1456;Asberger Straße / C3 ggü. Haus-Nr. 14;112402; 20,00 € 
05.01.2015;1610;Jahnstraße in Höhe von Haus-Nr. 24;113283; 25,00 € 
05.01.2015;1531;Jahnstraße in Höhe von Haus-Nr. 11;113283; 25,00 € 
05.01.2015;1533;Jahnstraße in Höhe von Haus-Nr. 9;113300; 10,00 € 
05.01.2015;1535;Jahnstraße in Höhe von Haus-Nr. 7;113300; 10,00 € 
05.01.2015;1537;Jahnstraße in Höhe von Haus-Nr. 4;113282; 20,00 € 
05.01.2015;1539;Jahnstraße ggü. Haus-Nr. 1;113300; 10,00 € 
05.01.2015;1543;Zwickauer Straße ggü. Haus-Nr. 6;113280; 10,00 € 
05.01.2015;1544;Zwickauer Straße ggü. Haus-Nr. 4;113300; 10,00 € 
05.01.2015;1554;Moselstraße in Höhe von Haus-Nr. 47;113300; 10,00 € 
05.01.2015;1558;Moselstraße in Höhe von Haus-Nr. 51;112372; 10,00 € 
05.01.2015;1607;Jahnstraße in Höhe von Haus-Nr. 6;141322; 15,00 € 
05.01.2015;1612;Jahnstraße in Höhe von Haus-Nr. 33;113281; 20,00 € 
05.01.2015;926;Bahnhofstraße in Höhe von Haus-Nr. 27;142272; 20,00 € 
05.01.2015;927;Bahnhofstraße in Höhe von Haus-Nr. 27;141245; 25,00 € 
05.01.2015;941;Bendmannstraße ggü. Haus-Nr. 20b;112402; 20,00 € 
05.01.2015;1013;Chemnitzer Straße, EDEKA DEPOT;102118; 10,00 € 
05.01.2015;1014;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1015;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1016;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1017;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1017;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1018;Chemnitzer Straße, EDEKA DEPOT;112402; 20,00 € 
05.01.2015;1106;Voßrather Straße in Höhe von Haus-Nr. 2a;141322; 15,00 € 
05.01.2015;1108;Josefstraße / C3 ggü. Haus-Nr. 27;113140; 10,00 € 
05.01.2015;1109;Josefstraße / C3 ggü. Haus-Nr. 27;113124; 30,00 € 
05.01.2015;1112;Josefstraße / C3 ggü. Haus-Nr. 33;113140; 10,00 € 
05.01.2015;1116;Josefstraße / C3 in Höhe von Haus-Nr. 40;113140; 10,00 € 
05.01.2015;1117;Josefstraße / C3 in Höhe von Haus-Nr. 46;113140; 10,00 € 
05.01.2015;1130;Heideweg in Höhe von Haus-Nr. 19;112402; 20,00 € 
05.01.2015;1143;Länglingsweg in Höhe von Haus-Nr. 45a;141322; 15,00 € 
05.01.2015;1144;Länglingsweg in Höhe von Haus-Nr. 45;141322; 15,00 € 
05.01.2015;1145;Länglingsweg in Höhe von Haus-Nr. 45;141322; 15,00 € 
05.01.2015;1324;Kornstraße, GLASCONTAINER;141001; 15,00 € 
05.01.2015;1343;Bethanienstraße in Höhe von Haus-Nr. 11;142262; 10,00 € 
05.01.2015;1419;Jan-Hus-Straße ggü. Haus-Nr. 1;142103; 10,00 € 
05.01.2015;1537;Kirschenallee in Höhe von Haus-Nr. 5;112042; 15,00 € 
05.01.2015;905;Unterwallstraße 9;113300; 10,00 € 
05.01.2015;908;Unterwallstraße 9;142262; 10,00 € 
05.01.2015;952;Unterwallstraße 9;142262; 10,00 € 
06.01.2015;1055;Lintforter Straße, Parkplatz;113300; 10,00 € 
06.01.2015;1337;Länglingsweg, Höhe Wiese Bengel;142263; 15,00 € 
06.01.2015;1347;Schwarzer Weg in Höhe von Haus-Nr. 72;142103; 10,00 € 
06.01.2015;913;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;914;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;919;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;1140;Seminarstraße hinter Haus-Nr. 5;113240; 10,00 € 
06.01.2015;1202;Unterwallstraße 9;141100; 25,00 € 
06.01.2015;920;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;925;Nordring / C2 in Höhe von Haus-Nr. 8;141062; 30,00 € 
06.01.2015;959;Haagstraße / B ggü. Haus-Nr. 30;142278; 35,00 € 
06.01.2015;1037;Meerstraße / B, Innenhof;113140; 10,00 € 
06.01.2015;1039;Meerstraße / B, Innenhof;113140; 10,00 € 
06.01.2015;1408;Meerstraße / B, Innenhof;113144; 30,00 € 
06.01.2015;1046;Meerstraße / B ggü. Haus-Nr. 1;142278; 35,00 € 
06.01.2015;1426;Nordring / C2 in Höhe von Haus-Nr. 1;141414; 20,00 € 
06.01.2015;1127;Rheinberger Straße ggü. Haus-Nr. 9;113280; 10,00 € 
06.01.2015;1129;Rheinberger Straße in Höhe von Haus-Nr. 7;113280; 10,00 € 
06.01.2015;1131;Rheinberger Straße in Höhe von Haus-Nr. 7;113300; 10,00 € 
06.01.2015;1141;Seminarstraße ggü. Haus-Nr. 41;113240; 10,00 € 
06.01.2015;1143;Seminarstraße ggü. Haus-Nr. 43;141412; 10,00 € 
06.01.2015;1154;Baerler Straße in Höhe von Haus-Nr. 46;113240; 10,00 € 
06.01.2015;1158;Baerler Straße in Höhe von Haus-Nr. 58;113240; 10,00 € 
06.01.2015;1307;Rheinberger Straße in Höhe von Haus-Nr. 4;113300; 10,00 € 
06.01.2015;1406;Meerstraße / B, Innenhof;113140; 10,00 € 
06.01.2015;1407;Meerstraße / B in Höhe von Haus-Nr., Innenhof;113140; 10,00 € 
06.01.2015;1413;Meerstraße / B, Schotterplatz;113120; 10,00 € 
06.01.2015;1415;Meerstraße / B, Schotterplatz;113122; 20,00 € 
06.01.2015;1418;Meerstraße / B, Schotterplatz;113120; 10,00 € 
06.01.2015;1422;Meerstraße / B, Schotterplatz;113140; 10,00 € 
06.01.2015;1427;Meerstraße / B, Schotterplatz;113140; 10,00 € 
06.01.2015;1430;Meerstraße / B, Schotterplatz;113140; 10,00 € 
06.01.2015;1422;Lintforter Straße in Höhe von Haus-Nr. 80;113300; 10,00 € 
06.01.2015;1426;Talstraße in Höhe von Haus-Nr. 3, Polster;113300; 10,00 € 
06.01.2015;1433;Talstraße ggü. Haus-Nr. 3;113300; 10,00 € 
06.01.2015;1437;Lintforter Straße, Parkplatz;113300; 10,00 € 
06.01.2015;1439;Lintforter Straße, Parkplatz;113300; 10,00 € 
06.01.2015;1445;Lintforter Straße in Höhe von Haus-Nr. 85d;113300; 10,00 € 
06.01.2015;1449;Lintforter Straße in Höhe von Haus-Nr. 93;113300; 10,00 € 
06.01.2015;1543;Zwickauer Straße in Höhe von Haus-Nr. 6;113300; 10,00 € 
06.01.2015;1547;Zwickauer Straße ggü. Haus-Nr. 12b;113281; 15,00 € 
06.01.2015;1551;Zwickauer Straße in Höhe von Haus-Nr. 13;113300; 10,00 € 
06.01.2015;1553;Zwickauer Straße in Höhe von Haus-Nr. 15;113280; 10,00 € 
06.01.2015;1607;Zwickauer Straße in Höhe von Haus-Nr. 16;113300; 10,00 € 
06.01.2015;1609;Moselstraße in Höhe von Haus-Nr. 84;112402; 20,00 € 
06.01.2015;1614;Moselstraße ggü. Haus-Nr. 82, Türk.Lebensmittelmarkt;141353; 25,00 € 
06.01.2015;1629;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;1632;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;1636;Nordring / C2, Parkplatz;113121; 15,00 € 
06.01.2015;1413;Unterwallstraße in Höhe von Haus-Nr. 9;142262; 10,00 € 
06.01.2015;1450;Gabelsbergerstraße in Höhe von Haus-Nr. 3;113220; 10,00 € 
06.01.2015;1629;Oberwallstraße / B in Höhe von Haus-Nr. 5;113140; 10,00 € 
06.01.2015;1639;Oberwallstraße / B ggü. Haus-Nr. 15;113140; 10,00 € 
06.01.2015;1240;Länglingsweg, hinten linke seite;142262; 10,00 € 
06.01.2015;1640;Kaldenhausener Straße, Autobahnbrücke Südseite;141314; 25,00 € 
06.01.2015;1713;Orchideenstraße 9;141322; 15,00 € 
06.01.2015;1719;Industriestraße 4;112402; 20,00 € 
06.01.2015;1725;Bendmannstraße ggü. Haus-Nr. 20b;112402; 20,00 € 
06.01.2015;1743;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
06.01.2015;1745;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
06.01.2015;1747;Pferdsweide ggü. Haus-Nr. 32, Logistig Moers;141312; 15,00 € 
06.01.2015;1810;Wedenhofstraße ggü. Haus-Nr. 38;142103; 10,00 € 
06.01.2015;1856;Scherpenberger Straße 2;141312; 15,00 € 
06.01.2015;1900;Homberger Straße / C1 428;141312; 15,00 € 
06.01.2015;1903;Homberger Straße / C1 430;141312; 15,00 € 
06.01.2015;1907;Schmale Straße 11;112402; 20,00 € 
06.01.2015;1918;Landwehrstraße / C1 ggü. Haus-Nr. 3;112042; 15,00 € 
06.01.2015;1923;Haagstraße / B 11;112042; 15,00 € 
06.01.2015;1938;Pferdsweide 51, Zeichen 1052-37;141312; 15,00 € 
06.01.2015;1940;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
06.01.2015;1941;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
06.01.2015;1943;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
06.01.2015;1944;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
06.01.2015;1949;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
06.01.2015;1950;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
06.01.2015;1952;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
06.01.2015;1015;Unterwallstraße 9;142262; 10,00 € 
06.01.2015;902;Repelener Straße, Parkplatz;113300; 10,00 € 
06.01.2015;911;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;915;Nordring / C2, Parkplatz;113140; 10,00 € 
06.01.2015;1001;Rheinberger Straße ggü. Haus-Nr. 31;113320; 10,00 € 
06.01.2015;1017;Baerler Straße 8;113240; 10,00 € 
06.01.2015;1027;Baerler Straße 18;113240; 10,00 € 
06.01.2015;1033;Baerler Straße 48;113240; 10,00 € 
06.01.2015;1037;Baerler Straße 54;113240; 10,00 € 
06.01.2015;1041;Baerler Straße 54;113240; 10,00 € 
06.01.2015;1802;Lintforter Straße 85b;112042; 15,00 € 
06.01.2015;1309;Nordring / C2 in Höhe von Haus-Nr. 1;141064; 35,00 € 
06.01.2015;1440;Rheinberger Straße in Höhe von Haus-Nr. 4;329119; 25,00 € 
06.01.2015;1525;Haagstraße / B ggü. Haus-Nr. 26;142278; 35,00 € 
